iter	MultiClass
0	1.060703247
1	1.027950994
2	0.9987106087
3	0.9728355951
4	0.9497073546
5	0.9286262076
6	0.9100292624
7	0.8930071085
8	0.8776333613
9	0.8634383095
10	0.8506252381
11	0.8388697538
12	0.8284983818
13	0.8186989656
14	0.8102529032
15	0.8016858432
16	0.7940186936
17	0.7871928476
18	0.7806296229
19	0.7748198173
20	0.7693130478
21	0.7643548739
22	0.7598259233
23	0.7551115655
24	0.750660238
25	0.7475242948
26	0.7437795699
27	0.7410570468
28	0.7383487885
29	0.7353148256
30	0.7327330216
31	0.7306131893
32	0.7282093124
33	0.7261787731
34	0.7238775988
35	0.722316117
36	0.7202684482
37	0.7185044008
38	0.7168986541
39	0.7153148716
40	0.7138727766
41	0.7125716672
42	0.7114875644
43	0.7100558579
44	0.7085726515
45	0.7074124392
46	0.7063297893
47	0.7053781553
48	0.704516533
49	0.703852049
50	0.7028530899
51	0.7021972151
52	0.7014027708
53	0.7005515523
54	0.6996322096
55	0.6990078727
56	0.6983483
57	0.6976072853
58	0.6966758662
59	0.6959480047
60	0.6953431976
61	0.6947396748
62	0.6941283592
63	0.6935273199
64	0.6929028657
65	0.69230831
66	0.6917496971
67	0.6913683729
68	0.6908832973
69	0.6904239675
70	0.6899594056
71	0.6893663499
72	0.6889881501
73	0.6884772427
74	0.6880491332
75	0.6874577089
76	0.6870443996
77	0.6866524762
78	0.6862423518
79	0.6859195536
80	0.6855767966
81	0.6850632724
82	0.684672428
83	0.6842757628
84	0.6839589314
85	0.6835657969
86	0.6831106099
87	0.6827027988
88	0.6825197498
89	0.6821599069
90	0.6819302398
91	0.6815412531
92	0.6812416387
93	0.6809487674
94	0.6806271742
95	0.6803905339
96	0.6801139951
97	0.6799061568
98	0.6796431502
99	0.6794228528
100	0.6790910035
101	0.6787261375
102	0.6785257362
103	0.6783507891
104	0.6782007968
105	0.6779368022
106	0.677635498
107	0.6773704379
108	0.6771773529
109	0.6770084918
110	0.6766815176
111	0.676400498
112	0.6762221638
113	0.6760100819
114	0.6757910444
115	0.6756073332
116	0.6753734163
117	0.675170914
118	0.6750139109
119	0.6748836493
120	0.6745989281
121	0.6744471307
122	0.6741360659
123	0.6739574956
124	0.6736933814
125	0.67341919
126	0.6732557997
127	0.6731070427
128	0.6729591271
129	0.672792182
130	0.6725255397
131	0.6723386879
132	0.6721760561
133	0.6719698362
134	0.6716696479
135	0.6713581214
136	0.6712160636
137	0.6710389414
138	0.6708205579
139	0.6706552972
140	0.6704386934
141	0.6701389235
142	0.6698987529
143	0.6696708802
144	0.6694483455
145	0.669309776
146	0.6690014801
147	0.668872363
148	0.6685902963
149	0.6683503233
150	0.6680952891
151	0.6679176313
152	0.667559157
153	0.6674359248
154	0.6672606508
155	0.667002996
156	0.6668146593
157	0.6667062645
158	0.6665484082
159	0.6663281172
160	0.6660853773
161	0.6659931538
162	0.6657725679
163	0.6655385796
164	0.6652323417
165	0.6649538185
166	0.6647709668
167	0.664477004
168	0.6642195439
169	0.6640644541
170	0.6639572206
171	0.6638578348
172	0.6637077826
173	0.6634937442
174	0.6632726297
175	0.663119138
176	0.6629771355
177	0.6625786606
178	0.6624052683
179	0.6622584281
180	0.6620708622
181	0.6619816006
182	0.6618904044
183	0.6615688274
184	0.661402436
185	0.6611527258
186	0.6608533577
187	0.6605352873
188	0.6602251933
189	0.660023553
190	0.6598898846
191	0.6597440667
192	0.6593963373
193	0.6592614149
194	0.6590938717
195	0.6588809381
196	0.658631045
197	0.6584888182
198	0.6583165742
199	0.6580692199
200	0.6579696455
201	0.6577985467
202	0.6575819619
203	0.657317824
204	0.6572146179
205	0.6569968995
206	0.656764668
207	0.6564914037
208	0.6563179199
209	0.6561510237
210	0.6560029158
211	0.6559024867
212	0.6556354492
213	0.6554706093
214	0.6553429049
215	0.6551640587
216	0.6549546147
217	0.6547052237
218	0.6545180048
219	0.6543656366
220	0.6541526201
221	0.6540304197
222	0.6537513192
223	0.6535789043
224	0.653334325
225	0.6531025052
226	0.6528821363
227	0.6527698197
228	0.6525768238
229	0.6524215135
230	0.6522609982
231	0.6521771341
232	0.652007971
233	0.6519150109
234	0.6516974773
235	0.6515710311
236	0.651435204
237	0.6512386063
238	0.6509707553
239	0.6508455902
240	0.6506399418
241	0.6504760978
242	0.6502209777
243	0.6500824972
244	0.6498878925
245	0.6497847343
246	0.6495861585
247	0.649378629
248	0.6492649815
249	0.6491327195
250	0.648968071
251	0.6487636211
252	0.6485459383
253	0.6483724804
254	0.6482452977
255	0.648069556
256	0.647913752
257	0.6477347272
258	0.6476651087
259	0.6474855601
260	0.6472463964
261	0.6470861517
262	0.6469016967
263	0.6467731904
264	0.6466515534
265	0.646431765
266	0.6461805661
267	0.646001316
268	0.6458233033
269	0.6457040065
270	0.6455900419
271	0.6454501521
272	0.6453157388
273	0.6450409942
274	0.6448551069
275	0.6447333885
276	0.6446457563
277	0.6444962645
278	0.644367269
279	0.6442571842
280	0.6441076662
281	0.643946591
282	0.6438293186
283	0.6436374134
284	0.6435227297
285	0.64329084
286	0.6432100084
287	0.6430043102
288	0.6428302637
289	0.6427650321
290	0.642593324
291	0.6424021732
292	0.6422817262
293	0.642021149
294	0.6417533027
295	0.6416151085
296	0.6413928116
297	0.6411238495
298	0.6409125041
299	0.640779139
300	0.6405494419
301	0.6404168576
302	0.6402099147
303	0.6399834939
304	0.639761086
305	0.639615668
306	0.6394306713
307	0.6393445862
308	0.6391539523
309	0.6389952621
310	0.6387865275
311	0.638571261
312	0.6383712952
313	0.6382158166
314	0.6380978472
315	0.6379858246
316	0.637852994
317	0.6377255784
318	0.6376275606
319	0.6374848669
320	0.6373821155
321	0.6372531773
322	0.6371204944
323	0.6370042068
324	0.6368648394
325	0.6367737431
326	0.6366539106
327	0.6364497369
328	0.6363052511
329	0.636185049
330	0.6359172485
331	0.6357282072
332	0.635546957
333	0.6353004769
334	0.6351401777
335	0.6350427325
336	0.634865698
337	0.6347508993
338	0.6346133646
339	0.6344356361
340	0.6343349288
341	0.6342446387
342	0.6341418436
343	0.6339170962
344	0.6336666653
