iter	Passed	Remaining
0	16	16391
1	28	14470
2	38	12729
3	47	11752
4	54	10871
5	62	10318
6	69	9827
7	76	9546
8	84	9287
9	92	9162
10	100	8995
11	107	8866
12	116	8807
13	124	8750
14	132	8694
15	141	8697
16	149	8640
17	157	8588
18	165	8546
19	174	8556
20	183	8538
21	192	8548
22	201	8543
23	210	8550
24	219	8578
25	228	8569
26	237	8550
27	245	8538
28	254	8524
29	263	8517
30	272	8505
31	280	8472
32	289	8472
33	297	8456
34	306	8445
35	314	8426
36	324	8433
37	332	8418
38	341	8407
39	349	8394
40	358	8380
41	366	8365
42	375	8356
43	383	8343
44	393	8342
45	401	8336
46	410	8323
47	419	8313
48	427	8298
49	436	8291
50	444	8279
51	453	8270
52	462	8259
53	470	8246
54	479	8237
55	488	8234
56	496	8218
57	505	8211
58	513	8196
59	523	8200
60	532	8194
61	542	8201
62	550	8190
63	558	8174
64	568	8172
65	576	8155
66	585	8155
67	594	8150
68	604	8153
69	612	8138
70	621	8133
71	629	8118
72	638	8110
73	647	8103
74	656	8092
75	664	8083
76	673	8074
77	682	8067
78	690	8053
79	699	8046
80	707	8028
81	716	8020
82	725	8014
83	734	8007
84	742	7992
85	750	7980
86	759	7968
87	768	7966
88	777	7956
89	786	7948
90	795	7941
91	804	7938
92	813	7930
93	821	7918
94	830	7910
95	838	7899
96	847	7894
97	856	7883
98	864	7871
99	874	7869
100	883	7861
101	891	7850
102	901	7850
103	909	7836
104	918	7825
105	927	7818
106	935	7809
107	944	7797
108	952	7788
109	961	7783
110	970	7772
111	979	7766
112	988	7756
113	997	7749
114	1005	7738
115	1014	7729
116	1022	7717
117	1031	7711
118	1040	7705
119	1049	7695
120	1058	7687
121	1066	7672
122	1075	7669
123	1083	7656
124	1092	7649
125	1100	7634
126	1109	7628
127	1118	7618
128	1127	7612
129	1135	7601
130	1144	7591
131	1152	7578
132	1161	7572
133	1169	7559
134	1178	7548
135	1186	7535
136	1194	7526
137	1202	7512
138	1212	7510
139	1220	7500
140	1230	7493
141	1238	7483
142	1246	7471
143	1255	7462
144	1263	7448
145	1272	7441
146	1280	7432
147	1289	7423
148	1297	7412
149	1307	7407
150	1315	7398
151	1324	7389
152	1332	7378
153	1340	7366
154	1349	7357
155	1358	7347
156	1366	7339
157	1375	7332
158	1384	7320
159	1393	7314
160	1401	7305
161	1409	7293
162	1418	7282
163	1426	7273
164	1435	7262
165	1443	7251
166	1451	7239
167	1459	7228
168	1468	7220
169	1477	7211
170	1485	7202
171	1493	7190
172	1502	7184
173	1511	7176
174	1520	7169
175	1529	7159
176	1538	7154
177	1546	7143
178	1555	7135
179	1563	7124
180	1572	7114
181	1581	7106
182	1589	7097
183	1598	7091
184	1608	7084
185	1616	7075
186	1625	7067
187	1634	7059
188	1642	7048
189	1651	7039
190	1659	7028
191	1668	7019
192	1676	7008
193	1684	6999
194	1693	6989
195	1702	6981
196	1711	6975
197	1719	6966
198	1727	6954
199	1736	6945
200	1744	6935
201	1753	6926
202	1761	6916
203	1770	6906
204	1779	6900
205	1787	6890
206	1796	6882
